customer_id,customer_name,loyalty_status,age,gender,join_date
101,Robert Ball,Silver,44.0,Female,2025-02-07
102,Ronald Lee,Silver,33.0,Female,2024-06-12
103,Barbara Cunningham,Basic,30.0,Other,2022-08-04
104,Stephanie Charles,Basic,34.0,Male,2022-07-05
105,Matthew Hobbs,Silver,64.0,Male,2024-01-10
106,Alexander Berry,Basic,,Female,2023-12-01
107,Juan Ortega,Silver,18.0,Male,2023-01-09
108,Patrick Kim,Silver,56.0,Female,2023-04-29
109,Michael Jones,Basic,48.0,Male,2024-04-09
110,Ryan Thompson,Gold,26.0,Male,2024-08-13
111,Craig Kramer,Gold,35.0,Male,2024-01-16
112,Jessica Garza,Silver,25.0,Male,2024-08-02
113,Rachel King,Basic,22.0,Female,2023-04-27
114,Keith Gray,Basic,58.0,Female,2023-01-07
115,Billy Calderon,Basic,62.0,,2025-02-24
116,Vanessa Spence,Basic,22.0,Female,2023-10-29
117,Cesar Hernandez,Platinum,18.0,Male,2023-01-17
118,Gary Mcdonald,Basic,21.0,Female,2022-05-11
119,Alexis Fuentes,Basic,25.0,Male,2023-06-21
120,Jeremy Douglas,Basic,44.0,Female,2024-02-18
121,Debra Benson,Silver,27.0,Female,2022-07-09
122,Misty Kelly,Basic,24.0,Female,2023-09-28
123,Nathaniel Mills,Basic,35.0,Female,2024-10-11
124,Ashley Perez,Basic,22.0,Female,2023-01-31
125,Mark Mcintyre,,56.0,Other,2024-10-27
126,Robin Rodgers,Basic,24.0,Female,2022-12-24
127,Roger White,Gold,36.0,Female,2023-03-06
128,Jamie Olson DVM,Gold,21.0,Female,2023-05-01
129,Gregg Matthews,Basic,54.0,Male,2024-04-24
130,Douglas Blair,Silver,47.0,Female,2022-05-01
131,Kristie Romero,Basic,32.0,Male,2023-11-04
132,Stephanie Austin,Platinum,21.0,Female,2024-08-03
133,Jordan Gutierrez,Silver,42.0,Male,2023-03-22
134,April Gray,Basic,34.0,,2022-08-24
135,Anthony Davis,Basic,50.0,Male,2023-06-22
136,Joel Carter,Basic,37.0,,2024-01-02
137,Alicia Warner,Platinum,49.0,Male,2023-01-23
138,Brandy Humphrey,Basic,25.0,Other,2023-06-11
139,Brian Thompson,Silver,43.0,Male,2024-04-19
140,Daniel Livingston,Basic,18.0,Male,2024-02-26
141,Mandy Johnson,Gold,57.0,Female,2023-07-17
142,Lance Sandoval,,64.0,Female,2022-08-26
143,Timothy Mathis,Silver,,Male,2024-05-09
144,David Fletcher,,50.0,Male,2024-01-29
145,Mary Smith,Silver,24.0,Male,2023-05-29
146,Christine Acosta,Basic,49.0,Other,2024-07-22
147,Kevin Nunez,Basic,28.0,Male,2025-01-08
148,Johnny Williams,Basic,,Male,2025-02-15
149,Carlos Costa,Silver,21.0,Male,2023-01-17
150,Daniel Gonzalez,Basic,30.0,Male,2023-11-07
151,Anna Adams,Silver,21.0,Female,2024-12-16
152,Dr. Jeffery Williams Jr.,Basic,18.0,Male,2022-10-07
153,Ricky Maddox,Gold,37.0,Male,2023-05-03
154,Dr. Mitchell Mclaughlin,Gold,,Male,2024-08-25
155,Donald Foster,Silver,28.0,Male,2023-07-04
156,Joseph Herrera,Basic,46.0,Male,2024-02-01
157,Joan Dominguez,Basic,31.0,Female,2022-04-16
158,Mike Smith,Basic,47.0,Female,2023-09-19
159,Tyler Barber,Basic,47.0,Female,2022-07-08
160,John Galvan,Silver,20.0,Female,2023-05-30
161,Adriana Gomez,Silver,43.0,Female,2024-02-14
162,Patricia Woodward,Gold,21.0,Male,2024-04-01
163,Christina Heath,Basic,43.0,Female,2023-08-04
164,Tracy Stout,Silver,42.0,Female,2024-03-14
165,Joshua Sandoval,Basic,35.0,Female,2024-12-21
166,Nicole Gamble,Silver,32.0,Female,2023-02-22
167,Stacy Kennedy,Basic,45.0,Male,2023-09-24
168,Laura Hawkins,Basic,28.0,Female,2023-04-12
169,Monica Beard,Basic,27.0,Female,2022-11-18
170,Shawn Mosley,Silver,43.0,Other,2024-04-09
171,Brenda Lam,Gold,38.0,Male,2024-11-04
172,Erin Watson,Basic,27.0,Male,2025-02-10
173,William Hudson,Basic,29.0,Male,2025-02-01
174,Megan Edwards,Basic,29.0,Female,2024-12-05
175,Jeremiah Rivera,Silver,19.0,,2023-04-18
176,Mrs. Monica Frazier DDS,Basic,65.0,Male,2022-12-20
177,Cole Lloyd,Silver,41.0,Other,2022-08-27
178,Justin Levine,Platinum,57.0,Male,2023-11-15
179,Holly Gomez,Gold,45.0,Female,2022-12-16
180,Donna Young,Basic,34.0,Male,2024-03-12
181,Allison Kidd,Gold,38.0,Female,2024-08-21
182,Annette Klein,Silver,25.0,Female,2022-07-28
183,Ashley Martin,Basic,29.0,Female,2022-10-07
184,David Ryan,Silver,18.0,Female,2023-03-31
185,John Fernandez,Gold,22.0,Male,2025-03-11
186,Melinda Young,Basic,57.0,Male,2022-07-15
187,Isaiah Molina,Basic,30.0,Male,2023-07-01
188,Valerie Whitaker,Basic,33.0,Female,2022-09-02
189,Michelle Garza MD,Silver,54.0,Female,2023-12-19
190,Corey Holmes,Basic,25.0,Male,2024-12-18
191,Carrie Francis,Gold,,Female,2024-09-16
192,Melissa Butler,Silver,18.0,Male,2025-01-26
193,Robin Mccullough,Silver,20.0,,2024-11-05
194,Andrea Johnson,Basic,33.0,Other,2023-11-04
195,Danielle Smith,Silver,30.0,Male,2023-02-02
196,Jonathan Murphy,Basic,33.0,Male,2024-06-08
197,Ashley Davis,Basic,36.0,Male,2024-06-18
198,Candice Parsons,Silver,57.0,Female,2024-06-07
199,Timothy Hart,Basic,31.0,Female,2025-01-20
200,Dr. Brian Johnson MD,Silver,45.0,Male,2022-07-11
201,Eric Berry,Basic,30.0,,2022-07-08
202,Jonathan Bauer,Basic,18.0,Male,2022-08-28
203,Laurie Flowers,Basic,52.0,Female,2024-06-30
204,Patricia Berry,Platinum,33.0,Female,2023-10-13
205,Richard Ferguson III,Silver,19.0,Male,2023-01-28
206,Joseph Spencer,Silver,56.0,Female,2023-04-26
207,Dawn Rogers,Basic,46.0,Female,2024-12-04
208,Christopher Park,Basic,49.0,Male,2025-03-10
209,Adam Chandler,Platinum,63.0,Male,2024-03-04
210,Justin Mack,Basic,21.0,Female,2023-11-30
211,Mr. Matthew Johnston DDS,Basic,35.0,Other,2025-02-11
212,Jessica Harris,Silver,31.0,Male,2022-09-19
213,Jared Robinson,Basic,54.0,Male,2022-12-20
214,Adrian Jones,Gold,49.0,,2023-08-13
215,Samantha Moore,Silver,62.0,Female,2024-11-28
216,Donna Love,Basic,29.0,Male,2024-05-27
217,Andrew Calhoun,Basic,,Male,2022-08-08
218,Stephanie Crawford,Basic,30.0,Female,2022-09-07
219,Kyle Bishop,Gold,33.0,Female,2022-09-09
220,Larry Garcia,Silver,44.0,Male,2024-05-02
221,Jeff Valentine,Basic,41.0,Male,2024-04-10
222,Paul Moody,Basic,20.0,Female,2024-08-31
223,Joseph Green,Silver,37.0,Male,2023-02-14
224,Natasha Hamilton,Silver,,Male,2023-02-22
225,Anna Rodriguez,Basic,33.0,Female,2022-09-16
226,Kimberly Rhodes,Basic,35.0,Male,2022-06-14
227,Alex Porter,Basic,31.0,Female,2023-10-30
228,Leah Lane,Silver,39.0,Female,2022-11-12
229,Courtney Warren,Platinum,26.0,Male,2025-02-11
230,Janice Phelps,Basic,48.0,Male,2023-07-25
231,Dr. Kelsey Jones,Silver,59.0,Female,2025-02-05
232,Nicole Nunez,Basic,51.0,Female,2024-09-17
233,Jennifer Wright,Basic,35.0,Female,2022-09-01
234,Kelly Dunn,Basic,29.0,Female,2023-03-30
235,Abigail Robbins,Gold,65.0,Male,2024-01-23
236,Kelly Frank,Basic,37.0,Female,2022-10-01
237,Adam Martin,Silver,58.0,Male,2024-09-28
238,Susan Li,Basic,57.0,Male,2023-08-27
239,Maria Williams,Basic,23.0,Male,2023-08-13
240,Karl Lawrence,Basic,20.0,Male,2022-05-09
241,James Garza,Silver,38.0,Female,2024-06-27
242,Christopher Guerra,Basic,36.0,,2024-03-24
243,Scott Mason,Silver,21.0,Male,2024-10-24
244,Justin Young,,29.0,Male,2023-08-29
245,Andrea Davis,Basic,62.0,Female,2025-03-08
246,Anthony Wallace,Basic,23.0,Female,2025-03-13
247,Melissa Little,Basic,,Male,2024-08-24
248,Nicole Gonzales,Basic,20.0,Male,2024-07-16
249,Morgan Lopez,Basic,25.0,Male,2024-03-04
250,Karen Garcia,Silver,21.0,Female,2024-10-12
